Crawler Type,Parallel Method,Workers,Decay Coefficient,Inheritance Coefficient,Time,Total Images,Total Scraped
Incremental,Threading,8,0.9,0.1,13800,9136,2480
Incremental,Threading,8,0.9,0.1,13500,8932,2384
Incremental,Threading,8,0.9,0.1,13200,8461,2320
Incremental,Threading,8,0.9,0.1,12900,8410,2200
Incremental,Threading,8,0.9,0.1,12600,8197,2104
Incremental,Threading,8,0.9,0.1,12300,7983,2008
Incremental,Threading,8,0.9,0.1,12000,7856,1904
Incremental,Threading,8,0.9,0.1,11700,7664,1808
Incremental,Threading,8,0.9,0.1,11400,7235,1736
Incremental,Threading,8,0.9,0.1,11100,6972,1664
Incremental,Threading,8,0.9,0.1,10800,6769,1552
Incremental,Threading,8,0.9,0.1,10500,6694,1432
Incremental,Threading,8,0.9,0.1,10200,6603,1384
Incremental,Threading,8,0.9,0.1,9900,6341,1328
Incremental,Threading,8,0.9,0.1,9600,6037,1240
Incremental,Threading,8,0.9,0.1,9300,5817,1160
Incremental,Threading,8,0.9,0.1,9000,5555,1096
Incremental,Threading,8,0.9,0.1,8700,5551,1088
Incremental,Threading,8,0.9,0.1,8400,5537,1080
Incremental,Threading,8,0.9,0.1,8100,5537,1064
Incremental,Threading,8,0.9,0.1,7800,5497,1056
Incremental,Threading,8,0.9,0.1,7500,5429,1048
Incremental,Threading,8,0.9,0.1,7200,5360,1040
Incremental,Threading,8,0.9,0.1,6900,5360,1032
Incremental,Threading,8,0.9,0.1,6600,5352,1024
Incremental,Threading,8,0.9,0.1,6300,5261,1016
Incremental,Threading,8,0.9,0.1,6000,5215,1008
Incremental,Threading,8,0.9,0.1,5700,5215,1000
Incremental,Threading,8,0.9,0.1,5400,5214,992
Incremental,Threading,8,0.9,0.1,5100,5214,984
Incremental,Threading,8,0.9,0.1,4800,5211,976
Incremental,Threading,8,0.9,0.1,4500,5199,968
Incremental,Threading,8,0.9,0.1,4200,5199,960
Incremental,Threading,8,0.9,0.1,3900,4997,888
Incremental,Threading,8,0.9,0.1,3600,4544,816
Incremental,Threading,8,0.9,0.1,3300,3766,760
Incremental,Threading,8,0.9,0.1,3000,3455,696
Incremental,Threading,8,0.9,0.1,2700,3150,656
Incremental,Threading,8,0.9,0.1,2400,2795,584
Incremental,Threading,8,0.9,0.1,2100,2530,512
Incremental,Threading,8,0.9,0.1,1800,2378,408
Incremental,Threading,8,0.9,0.1,1500,2316,376
Incremental,Threading,8,0.9,0.1,1200,2167,336
Incremental,Threading,8,0.9,0.1,900,1931,224
Incremental,Threading,8,0.9,0.1,600,1137,144
Incremental,Threading,8,0.9,0.1,300,766,64
Incremental,Threading,8,0.9,0.1,0,0,0
Focused,Threading,8,0.9,0.1,43200,32502,9357
Focused,Threading,8,0.9,0.1,42900,32246,9315
Focused,Threading,8,0.9,0.1,42600,32122,9278
Focused,Threading,8,0.9,0.1,42300,31934,9248
Focused,Threading,8,0.9,0.1,42000,31726,9208
Focused,Threading,8,0.9,0.1,41700,31518,9168
Focused,Threading,8,0.9,0.1,41400,31266,9136
Focused,Threading,8,0.9,0.1,41100,31134,9096
Focused,Threading,8,0.9,0.1,40800,30976,9048
Focused,Threading,8,0.9,0.1,40500,30873,9008
Focused,Threading,8,0.9,0.1,40200,30627,8976
Focused,Threading,8,0.9,0.1,39900,30366,8936
Focused,Threading,8,0.9,0.1,39600,30227,8896
Focused,Threading,8,0.9,0.1,39300,30058,8856
Focused,Threading,8,0.9,0.1,39000,29892,8808
Focused,Threading,8,0.9,0.1,38700,29733,8768
Focused,Threading,8,0.9,0.1,38400,29576,8736
Focused,Threading,8,0.9,0.1,38100,29516,8688
Focused,Threading,8,0.9,0.1,37800,29415,8648
Focused,Threading,8,0.9,0.1,37500,29182,8608
Focused,Threading,8,0.9,0.1,37200,29059,8568
Focused,Threading,8,0.9,0.1,36900,28891,8528
Focused,Threading,8,0.9,0.1,36600,28779,8488
Focused,Threading,8,0.9,0.1,36300,28771,8440
Focused,Threading,8,0.9,0.1,36000,28738,8400
Focused,Threading,8,0.9,0.1,35700,28674,8352
Focused,Threading,8,0.9,0.1,35400,28503,8304
Focused,Threading,8,0.9,0.1,35100,28341,8256
Focused,Threading,8,0.9,0.1,34800,28267,8216
Focused,Threading,8,0.9,0.1,34500,28162,8168
Focused,Threading,8,0.9,0.1,34200,27960,8120
Focused,Threading,8,0.9,0.1,33900,27869,8064
Focused,Threading,8,0.9,0.1,33600,27833,8016
Focused,Threading,8,0.9,0.1,33300,27699,7968
Focused,Threading,8,0.9,0.1,33000,27443,7928
Focused,Threading,8,0.9,0.1,32700,27171,7880
Focused,Threading,8,0.9,0.1,32400,26977,7840
